date,strategy,cost_bps,turnover
2019-03-01,Turnover-Aware Max Sharpe γ=0.05,5.0,0.11084458833705796
2019-03-01,Turnover-Aware Max Sharpe γ=0.05,10.0,0.11084458833705796
2019-03-01,Turnover-Aware Max Sharpe γ=0.05,25.0,0.11084458833705796
2019-03-01,Turnover-Aware Max Sharpe γ=0.10,0.0,0.0920903994546235
2019-03-01,Turnover-Aware Max Sharpe γ=0.10,5.0,0.0920903994546235
2019-03-01,Turnover-Aware Max Sharpe γ=0.10,10.0,0.0920903994546235
2019-03-01,Turnover-Aware Max Sharpe γ=0.10,25.0,0.0920903994546235
2019-03-01,Turnover-Aware Max Sharpe γ=0.25,0.0,0.04520554984351581
2019-03-01,Turnover-Aware Max Sharpe γ=0.25,5.0,0.04520554984351581
2019-03-01,Turnover-Aware Max Sharpe γ=0.25,10.0,0.04520554984351581
2019-03-01,Turnover-Aware Max Sharpe γ=0.25,25.0,0.04520554984351581
2019-03-01,Combined Robust Max Sharpe λ=0.50 γ=0.10,0.0,0.018814505818768555
2019-03-01,Combined Robust Max Sharpe λ=0.50 γ=0.10,5.0,0.018814505818768555
2019-03-01,Combined Robust Max Sharpe λ=0.50 γ=0.10,10.0,0.018814505818768555
2019-03-01,Combined Robust Max Sharpe λ=0.50 γ=0.10,25.0,0.018814505818768555
